nr,X,Y,Z,kod
30086,6047426.698,6529758.391,17.334,tor1
30102,6047413.217,6529799.788,17.252,tor1
30103,6047413.214,6529799.790,17.252,tor1
30176,6047397.782,6529829.937,17.204,tor1
30301,6047300.782,6529983.354,17.111,tor1
30338,6047235.639,6530052.400,17.156,tor1
30342,6047216.955,6530071.962,17.164,tor1
30352,6047202.794,6530087.098,17.235,tor1
30362,6047189.324,6530101.516,17.348,tor1
30432,6047210.473,6530108.253,17.608,tor1
30434,6047201.840,6530119.760,17.683,tor1
30439,6047185.207,6530141.993,17.758,tor1
30486,6047089.530,6530292.270,18.019,tor1
30488,6047082.251,6530302.254,17.966,tor1
30491,6047076.825,6530310.397,18.007,tor1
30493,6047071.433,6530318.491,17.951,tor1
30523,6046556.264,6530879.502,17.037,tor1
30525,6046543.907,6530898.618,17.042,tor1
30531,6046528.031,6530922.938,16.807,tor1
30533,6046512.886,6530943.100,16.624,tor1
30564,6046486.492,6530969.234,16.606,tor1
30566,6046470.909,6530981.804,16.520,tor1
30568,6046455.398,6530994.210,16.433,tor1
30578,6046426.841,6531017.599,16.287,tor1
30580,6046407.593,6531034.394,16.263,tor1
30582,6046381.203,6531058.234,16.124,tor1
30605,6044204.472,6533410.276,10.153,tor1
30618,6044193.253,6533425.031,10.344,tor1
30634,6044182.083,6533440.341,10.559,tor1
30652,6044169.939,6533457.157,10.804,tor1
30674,6044145.624,6533490.778,11.275,tor1
30691,6044130.083,6533512.309,11.563,tor1
30698,6044113.964,6533534.604,11.880,tor1
30699,6044091.442,6533565.807,12.318,tor1
30715,6044078.147,6533584.205,12.559,tor1
30722,6044057.704,6533612.497,12.931,tor1
30723,6044033.288,6533646.305,13.269,tor1
30876,6043947.300,6533734.772,9.062,tor1
30882,6043938.159,6533750.460,8.650,tor1
30886,6043929.444,6533768.690,8.290,tor1
30999,6046684.763,6530776.850,16.439,tor1
31115,6046620.455,6530885.462,17.224,tor1
31117,6046615.319,6530894.140,17.004,tor1
31215,6046553.044,6530999.564,13.479,tor1
31221,6046543.817,6531015.306,13.248,tor1
31275,6046513.971,6531264.127,,tor1
31331,6046446.912,6531358.209,,tor1
31338,6046431.138,6531379.180,,tor1
31381,6046298.294,6531559.941,,tor1
31505,6046431.277,6531176.628,13.044,tor1
31699,6046053.023,6531761.695,11.644,tor1
31717,6046038.928,6531779.058,11.581,tor1
31723,6046025.322,6531794.043,11.534,tor1
31727,6046013.715,6531805.487,11.478,tor1
31733,6046001.620,6531816.328,11.402,tor1
31747,6045978.373,6531834.603,11.328,tor1
31753,6045965.441,6531843.658,11.303,tor1
32131,6045884.697,6531901.191,10.996,tor1
32140,6045871.914,6531913.369,10.964,tor1
32142,6045861.566,6531924.230,10.919,tor1
32170,6045965.810,6531875.452,11.028,tor1
32174,6045952.275,6531882.191,11.028,tor1
32176,6045935.883,6531890.398,11.020,tor1
32254,6045938.393,6531007.456,17.924,tor1
32267,6045928.791,6531030.959,17.928,tor1
32421,6045886.218,6531193.582,17.361,tor1
32435,6045860.667,6531239.860,17.320,tor1
32438,6045850.578,6531255.550,17.298,tor1
32443,6045833.568,6531279.325,17.298,tor1
32663,6045570.778,6532170.661,,tor1
32768,6045528.025,6532193.187,,tor1
32770,6045502.492,6532206.593,,tor1
32787,6045462.874,6532227.393,,tor1
32789,6045438.568,6532240.156,,tor1
32808,6045409.801,6532255.275,,tor1
32809,6045384.024,6532268.806,,tor1
32828,6045350.679,6532286.304,,tor1
32830,6045326.448,6532299.048,,tor1
32850,6045293.179,6532316.498,,tor1
32859,6045262.061,6532332.864,,tor1
32874,6045234.826,6532347.161,,tor1
32884,6045611.639,6532211.419,,tor1
32886,6045600.527,6532221.063,,tor1
32894,6045587.148,6532232.414,,tor1
32896,6045574.297,6532243.251,,tor1
32902,6045556.765,6532258.061,,tor1
32910,6045508.515,6532298.819,,tor1
32915,6045455.858,6532343.336,,tor1
